approximately	xấp xỉ;
apéritif	a pê ri típ
arab block	Khối Ả Rập
araucaria	bách tán
archbishop (cao dai)	Phối Sư
archeology	bác cổ
archivist (cao dai)	Sĩ Tải
argue	biện thuyết
argue somebody out of doing	bàn lùi
argue to refuse (to do something)	bàn lùi
arhat	La Hán
armory	binh xưởng
arms	binh khí
army hero	supper
army ranks	binh ngũ
arrange	bày
arsenal	binh khố
arsenic	a sen
arts and crafts	bách nghệ
as if one’s life depended on it	bán sống bán chất
asbestos	a mi ăng
asia	Châu Á
asia minor	Tiểu Á
asian continent	Châu Á
asian-american	Mỹ vàng
assist	bang trợ
assistant district chief	bang biện
astonishingly	đáng ngạc nhiên
at first	lúc đầu
at midday	lúc giữa trưa
at night	ban đêm
at night-time	buổi tối
at the beginning	ban đầu
at the risk of one’s life	bán mạng
athens	Nhã Ðiển
atomic bomb	bom nguyên tử
atropine	a trô pin
attention!	a lô
attorney	biện lý
au revoir	Tạm biệt
aunt	bác gái
authoritarian	bá đạo
avaricious	bon chen
avoid	bán mặt
award	ban tặng
azure	biếc
babble	bi ba bi bô
babies	anh nhi
bacon	ba chỉ
bag	bao
bag of rice	bao gạo
balcony	bao lơn
ball	banh
ball-shaped cake	bánh bỏng
ballast	bao cát
ballet	ba lê
balloon	bong bóng
banana tree	ba tiêu
band	ban nhạc
bangkok	Vọng Các
banished	biệt sứ
bank for investment and development	Ngân Hàng Đầu Tư và Phát Triển
banner	biểu ngữ
bar sight	biể xích
bargain away	bán đổ bán tháo
bargain sale	bán hóa giá
barium	ba ri
barracks bag	bao quân trang
barrel	ba ren
barrier	ba ri e
barter	bán đổ bán tháo
basalt	ba zan
base	căn cứ
base plate	bàn đế
bat a thousand	bách phát bách trúng
bathroom	buồng tắm
baton	ba toong
battery	bin
battle-seasoned	bách chiến
bazaar	ba za
bazooka	ba đô ca
be an expert in	biết rành
be anxious	bàn hoàn
be defeated	bái xái
be familiar	am tường
be forced to	buộc phải
be made up of	bao gồm
be surrounded by	bao quanh
be very sad	buồn teo
be worried	bàn hoàn
beauty	anh hoa
become loose	buột
bed roll	bao ngủ
bed sack	bao ngủ
bedroom	buồng ngủ
beer and wine	bia rượu
beginning stage	ban sơ
being away of that	biết được điều đó
bel; skip	ben
bentonite	ben tô nít
benzene	ben zen
benzol	ben zen
besiege	bao vây
best selling	bán chạy nhất
